,title,genres,production_companies,vote_average,revenue,release_year,release_month,cast_number,first_cast_gender,second_cast_gender,duration,cast_total_facebook_likes,content_rating,budget,imdb_score,movie_facebook_likes,Action_index,Adventure_index,Fantasy_index,Sci-Fi_index,Thriller_index,Romance_index,Animation_index,Comedy_index,Family_index,Musical_index,Mystery_index,Western_index,Drama_index,History_index,Sport_index,Crime_index,Horror_index,War_index,Biography_index,Music_index,Documentary_index,Film-Noir_index,War_ohe,Biography_ohe,Thriller_ohe,Sci-Fi_ohe,Sport_ohe,Crime_ohe,Documentary_ohe,Musical_ohe,Comedy_ohe,Animation_ohe,Horror_ohe,Action_ohe,Western_ohe,Fantasy_ohe,Adventure_ohe,History_ohe,Mystery_ohe,Drama_ohe,Music_ohe,Film-Noir_ohe,Romance_ohe,Family_ohe
0,Avatar,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,7.2,2787965087,2009,12,153,2,1,178,4834,PG-13,237000000,7.9,33000,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
1,Pirates of the Caribbean: At World's End,"['Action', 'Adventure', 'Fantasy']",Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,6.9,961000000,2007,5,32,2,2,169,48350,PG-13,300000000,7.1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
2,Spectre,"['Action', 'Adventure', 'Thriller']",Columbia Pictures|Danjaq|B24,6.3,880674609,2015,10,155,2,2,148,11700,PG-13,245000000,6.8,85000,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
3,The Dark Knight Rises,"['Action', 'Thriller']",Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,7.6,1084939099,2012,7,217,2,2,164,106759,PG-13,250000000,8.5,164000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
4,John Carter,"['Action', 'Adventure', 'Sci-Fi']",Walt Disney Pictures,6.1,284139100,2012,3,132,2,1,132,1873,PG-13,263700000,6.6,24000,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
5,Spider-Man 3,"['Action', 'Adventure', 'Romance']",Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,5.9,890871626,2007,5,56,2,1,156,46055,PG-13,258000000,6.2,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
6,Spider-Man 3,"['Action', 'Adventure', 'Romance']",Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,5.9,890871626,2007,5,56,2,1,156,46055,PG-13,258000000,6.2,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])"
7,Tangled,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Walt Disney Pictures|Walt Disney Animation Studios,7.4,591794936,2010,11,79,2,1,100,2036,PG,260000000,7.8,29000,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])"
8,Avengers: Age of Ultron,"['Action', 'Adventure', 'Sci-Fi']",Marvel Studios|Prime Focus|Revolution Sun Studios,7.3,1405403694,2015,4,74,2,2,141,92000,PG-13,250000000,7.5,118000,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
9,Harry Potter and the Half-Blood Prince,"['Adventure', 'Family', 'Fantasy', 'Mystery']",Warner Bros.|Heyday Films,7.4,933959197,2009,7,27,2,2,153,58753,PG,250000000,7.5,10000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[],[])","(1,[],[])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])","(1,[],[])"
