,genres
0,Action|Adventure|Fantasy|Sci-Fi
1,Action|Adventure|Fantasy
2,Action|Adventure|Thriller
3,Action|Thriller
4,Action|Adventure|Sci-Fi
5,Action|Adventure|Romance
6,Action|Adventure|Romance
7,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
8,Action|Adventure|Sci-Fi
9,Adventure|Family|Fantasy|Mystery
10,Action|Adventure|Sci-Fi
11,Action|Adventure|Sci-Fi
12,Action|Adventure
13,Action|Adventure|Fantasy
14,Action|Adventure|Western
15,Action|Adventure|Fantasy|Sci-Fi
16,Action|Adventure|Family|Fantasy
17,Action|Adventure|Sci-Fi
18,Action|Adventure|Sci-Fi
19,Action|Adventure|Fantasy
20,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
21,Adventure|Fantasy
22,Action|Adventure|Fantasy
23,Action|Adventure|Drama|History
24,Adventure|Fantasy
25,Adventure|Family|Fantasy
26,Action|Adventure|Drama|Romance
27,Action|Adventure|Drama|Romance
28,Action|Adventure|Drama|Romance
29,Drama|Romance
30,Action|Adventure|Sci-Fi
31,Action|Adventure|Sci-Fi|Thriller
32,Action|Adventure|Sci-Fi|Thriller
33,Action|Adventure|Thriller
34,Action|Adventure|Thriller
35,Action|Adventure|Fantasy|Romance
36,Action|Adventure|Sci-Fi
37,Adventure|Family|Fantasy
38,Adventure|Family|Fantasy
39,Action|Adventure|Fantasy|Sci-Fi|Thriller
40,Adventure|Animation|Comedy|Family|Fantasy
41,Action|Adventure|Sci-Fi
42,Action|Adventure|Sci-Fi
43,Action|Adventure|Fantasy|Sci-Fi
44,Action|Adventure|Sci-Fi
45,Action|Adventure|Sci-Fi
46,Adventure|Animation|Comedy|Family|Sport
47,Action|Adventure|Sci-Fi
48,Adventure|Animation|Comedy|Family|Fantasy
49,Action|Adventure|Sci-Fi
50,Action|Crime|Thriller
51,Action|Adventure|Horror|Sci-Fi|Thriller
52,Action|Adventure|Fantasy|Sci-Fi|Thriller
53,Action|Adventure|Sci-Fi
54,Adventure|Fantasy
55,Drama|Romance
56,Drama|Romance
57,Action|Adventure|Fantasy|Romance
58,Action|Adventure|Sci-Fi
59,Action|Adventure|Sci-Fi
60,Action|Adventure|Fantasy
61,Adventure|Animation|Comedy|Family|Fantasy
62,Action|Adventure|Sci-Fi|Thriller
63,Action|Comedy|Crime|Thriller
64,Action|Adventure|Sci-Fi
65,Animation|Drama|Family|Fantasy
66,Action|Adventure|Sci-Fi
67,Action|Adventure|Drama|Romance
68,Action|Adventure|Drama|Romance
69,Adventure|Family|Fantasy
70,Action|Adventure|Sci-Fi
71,Action|Crime|Drama|Thriller
72,Adventure|Animation|Comedy|Family
73,Action|Adventure|Sci-Fi
74,Adventure|Drama|Family|Mystery
75,Action|Comedy|Sci-Fi|Western
76,Action|Adventure|Fantasy|Horror|Thriller
77,Action|Adventure|Comedy|Sci-Fi
78,Comedy|Family|Fantasy
79,Action|Adventure|Sci-Fi
80,Action|Adventure|Sci-Fi|Thriller
81,Adventure|Animation|Comedy|Drama|Family|Fantasy
82,Adventure|Drama|Family|Fantasy
83,Adventure|Drama|Family|Fantasy
84,Action|Adventure|Sci-Fi
85,Action|Adventure|Drama|Fantasy
86,Action|Adventure|Family|Fantasy|Romance
87,Action|Adventure|Drama|Sci-Fi
88,Action|Adventure|Sci-Fi
89,Adventure|Animation|Comedy|Family|Fantasy
90,Action|Adventure|Family|Mystery|Sci-Fi
91,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
92,Adventure|Animation|Comedy|Family|Sci-Fi
93,Adventure|Animation|Family|Fantasy
94,Action|Adventure|Sci-Fi
95,Adventure|Animation|Family|Fantasy
96,Action|Sci-Fi
97,Action|Adventure|Sci-Fi
98,Adventure|Drama|Sci-Fi
99,Action|Adventure|Sci-Fi|Thriller
100,Adventure|Fantasy
101,Action|Crime|Thriller
102,Action|Crime|Thriller
103,Action|Crime|Thriller
104,Drama|Fantasy|Romance
105,Action|Adventure|Sci-Fi
106,Adventure|Sci-Fi
107,Action|Adventure|Family|Fantasy
108,Action|Adventure|Drama|Thriller
109,Adventure|Family|Fantasy
110,Adventure|Animation|Comedy|Family|Fantasy
111,Action|Adventure|Fantasy
112,Action|Adventure|Sci-Fi
113,Adventure|Family|Fantasy
114,Action|Drama|History|Romance|War
115,Action|Adventure|Sci-Fi
116,Action|Adventure|Biography|Drama|History|Romance|War
117,Adventure|Family|Fantasy|Mystery
118,Adventure|Family|Fantasy|Mystery
119,Action|Drama
120,Drama|Horror|Sci-Fi
121,Adventure|Comedy|Family|Fantasy
122,Animation|Comedy|Family|Fantasy
123,Action|Adventure
124,Action|Adventure|Animation|Comedy|Family
125,Adventure|Comedy|Family|Fantasy
126,Action|Adventure|Fantasy|Sci-Fi|Thriller
127,Action|Sci-Fi
128,Adventure|Animation|Comedy|Family|Fantasy|Musical
129,Action|Sci-Fi
130,Action|Adventure|Fantasy
131,Action|Adventure|Sci-Fi|Thriller
132,Mystery|Thriller
133,Action|Adventure|Fantasy
134,Adventure|Animation|Comedy|Drama|Family
135,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
136,Action|Adventure|Fantasy
137,Comedy|Fantasy|Horror
138,Action|Adventure|Thriller
139,Drama|Fantasy|Horror|Thriller
140,Adventure|Animation|Comedy|Family
141,Action|Adventure|Animation|Comedy|Family
142,Action|Adventure|Family|Fantasy
143,Action|Adventure|Thriller
144,Action|Drama|Thriller
145,Action|Adventure|Animation|Comedy|Family|Sci-Fi
146,Adventure|Animation|Comedy|Family
147,Adventure|Family|Fantasy
148,Adventure|Family|Fantasy
149,Adventure|Family|Fantasy
150,Adventure|Animation|Comedy|Family|Sci-Fi
151,Adventure
152,Adventure|Animation|Comedy|Family
153,Action|Adventure|Thriller
154,Action|Comedy|Fantasy|Sci-Fi
155,Action|Comedy|Fantasy|Sci-Fi
156,Action|Adventure|Sci-Fi|Thriller
157,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi
158,Action|Adventure|Animation|Fantasy
159,Action|Adventure|Animation|Comedy|Family
160,Action|Adventure|Thriller
161,Adventure|Animation|Family|Fantasy
162,Comedy|Crime
163,Action|Drama|History|War
164,Action|Adventure|Drama
165,Action|Adventure|Drama
166,Action|Adventure|Sci-Fi
167,Action|Adventure|Fantasy|Romance
168,Action|Adventure|Animation|Comedy|Family|Fantasy
169,Action|Adventure|Fantasy
170,Action|Adventure|Sci-Fi|Thriller
171,Action|Drama|Mystery|Sci-Fi
172,Action|Crime|Thriller
173,Action|Sci-Fi
174,Action|Adventure|Sci-Fi|Thriller
175,Action|Adventure|Comedy|Thriller
176,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi
177,Action|Adventure|Sci-Fi
178,Action|Adventure|Thriller
179,Action|Adventure|Drama|History|War
180,Adventure|Drama|Fantasy|Romance
181,Adventure|Drama|Fantasy|Romance
182,Action|Adventure|Sci-Fi
183,Adventure|Family|Fantasy
184,Adventure|Drama|Thriller|Western
185,Adventure|Animation|Comedy|Family|Sport
186,Adventure|Animation|Comedy|Family|Western
187,Adventure|Animation|Comedy|Family
188,Action|Mystery|Thriller
189,Action|Adventure|Animation|Comedy|Family
190,Action|Adventure|Comedy|Sci-Fi
191,Adventure|Sci-Fi|Thriller
192,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
193,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
194,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
195,Adventure|Sci-Fi|Thriller
196,Action|Comedy|Crime|Thriller
197,Action|Adventure|Animation|Comedy|Family|Fantasy
198,Action|Crime|Mystery|Thriller
199,Action|Adventure|Drama
200,Action|Adventure|Family|Mystery
201,Adventure|Family|Fantasy|Mystery
202,Adventure|Drama|Romance|War
203,Action|Adventure|Sci-Fi
204,Adventure|Animation|Family|Thriller
205,Adventure|Comedy|Family|Fantasy
206,Action|Animation|Comedy|Family|Sci-Fi
207,Action|Comedy|Fantasy
208,Action|Adventure|Fantasy
209,Adventure|Sci-Fi|Thriller
210,Mystery|Thriller
211,Adventure|Animation|Comedy|Family|Musical
212,Action|Crime|Thriller
213,Action|Adventure|Crime|Mystery|Thriller
214,Action|Adventure|Fantasy
215,Action|Adventure|Fantasy
216,Action|Sci-Fi
217,Action|Sci-Fi
218,Action|Adventure|Thriller
219,Action
220,Comedy|Family|Fantasy
221,Action|Adventure|Sci-Fi|Thriller
222,Action|Adventure|Thriller
223,Action|Adventure|Drama|Thriller
224,Action|Adventure|Sci-Fi|Thriller
225,Adventure|Drama|Fantasy
226,Action|Fantasy|Thriller
227,Action|Thriller
228,Action|Adventure|Comedy|Crime
229,Adventure|Mystery|Sci-Fi
230,Adventure|Animation|Comedy|Family|Fantasy
231,Action|Drama|Sci-Fi|Thriller
232,Action|Adventure|Sci-Fi|Thriller
233,Action|Crime|Sci-Fi|Thriller
234,Action|Crime|Sci-Fi|Thriller
235,Action|Family|Sport
236,Comedy|Drama|Romance
237,Action|Comedy|Romance
238,Action|Adventure|Mystery|Sci-Fi
239,Action|Adventure|Fantasy|Sci-Fi
240,Action|Adventure|Fantasy|Sci-Fi
241,Adventure|Animation|Comedy|Family|Fantasy
242,Action|Adventure|Fantasy|Sci-Fi
243,Adventure|Animation|Comedy|Family|Fantasy
244,Action|Drama|War
245,Action|Adventure|Drama|Fantasy
246,Action|Adventure|Comedy|Sci-Fi
247,Action|Adventure|Comedy|Sci-Fi
248,Adventure|Drama|Sci-Fi|Thriller
249,Action|Adventure|Thriller
250,Action|Adventure|Comedy|Sci-Fi
251,Action|Adventure|Sci-Fi
252,Action|Adventure|Sci-Fi
253,Action|Adventure|Comedy|Family|Fantasy
254,Action|Adventure|Drama|Thriller
255,Action|Adventure|Thriller
256,Action|Drama|History|War
257,Crime|Thriller
258,Action|Comedy|Crime|Romance|Thriller
259,Adventure|Sci-Fi|Thriller
260,Biography|Drama
261,Adventure|Comedy|Family|Fantasy
262,Action|Comedy|Crime|Sci-Fi|Thriller
263,Action|Drama|Fantasy|War
264,Adventure|Animation|Comedy|Family|Fantasy
265,Animation|Comedy|Family|Music|Western
266,Action|Adventure|Mystery|Sci-Fi|Thriller
267,Action|Drama|Sci-Fi|Sport
268,Adventure|Animation|Comedy|Family|Fantasy
269,Action|Crime|Romance|Thriller
270,Action|Sci-Fi
271,Action|Adventure|Thriller
272,Action|Adventure|Drama|Fantasy
273,Action|Adventure|Comedy
274,Action|Adventure|Comedy
275,Biography|Drama|Sport
276,Adventure|Comedy|Family|Fantasy
277,Action|Mystery|Sci-Fi|Thriller
278,Action|Adventure|Drama|History|War
279,Adventure|Comedy|Family|Fantasy
280,Animation|Family|Fantasy|Musical|Romance
281,Adventure|Drama|Sci-Fi
282,Action|Adventure|Romance|Sci-Fi|Thriller
283,Action|Adventure|Romance|Sci-Fi|Thriller
284,Comedy|Romance
285,Action|Crime|Thriller
286,Action|Drama|Romance
287,Action|Mystery|Sci-Fi|Thriller
288,Adventure|Family|Fantasy|Mystery
289,Action|Adventure|Thriller
290,Action|Adventure|Thriller
291,Action|Adventure|Sci-Fi|Thriller
292,Action|Adventure|Sci-Fi|Thriller
293,Action|Sci-Fi
